,Unnamed: 0,block_num,id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree,compas_decile_score,two_year_recid,c_charge_desc,mturk_charge_name,full_charge_description
46,47,1,9501,Hispanic,Male,45,0,0,0,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
47,48,1,7412,Caucasian,Male,28,0,0,0,169,felony,2,1,Felony Battery (Dom Strang),Battery,Intentionally causing bodily harm to another person without a weapon
48,49,1,10044,Caucasian,Male,34,0,0,0,374,misdemeanor,2,1,Susp Drivers Lic 1st Offense,Driving with a Suspended License,Driving with a license that has been suspended
49,50,1,8938,African American,Female,48,0,0,0,45,misdemeanor,5,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
50,51,2,3248,Caucasian,Male,70,0,0,11,306,felony,1,1,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
51,52,2,4943,African American,Male,46,1,0,9,190,felony,9,1,Grand Theft in the 3rd Degree,Grand Theft,The unlawful taking of property worth more than $300
52,53,2,3854,African American,Male,22,0,0,1,190,felony,3,1,Grand Theft in the 3rd Degree,Grand Theft,The unlawful taking of property worth more than $300
53,54,2,1103,African American,Male,22,0,0,0,246,felony,8,0,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
54,55,2,4977,Caucasian,Male,39,6,1,17,306,felony,7,1,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
55,56,2,5765,African American,Male,51,1,0,19,175,felony,9,0,Felony Petit Theft,Theft,The taking of another person's property worth less than $300
56,57,2,2002,Caucasian,Male,49,0,0,12,283,misdemeanor,5,0,Possess Cannabis/20 Grams Or Less,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
57,58,2,4860,African American,Female,24,0,0,0,45,misdemeanor,2,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
58,59,2,1941,African American,Male,28,0,0,0,134,misdemeanor,1,0,DUI Property Damage/Injury,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
59,60,2,913,African American,Male,31,0,0,3,425,misdemeanor,8,1,Viol Pretrial Release Dom Viol,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will"
60,61,2,3010,Caucasian,Male,58,0,0,0,132,misdemeanor,1,0,DUI Blood Alcohol Above 0.20,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
61,62,2,7897,Caucasian,Female,24,0,0,0,45,misdemeanor,5,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
62,63,2,7920,African American,Male,22,0,0,0,289,felony,4,0,Possess w/I/Utter Forged Bills,Forgery,"When a person falsely makes, alters, counterfeits, or forges a document that carries Òlegal efficacyÓ"
63,64,2,375,Caucasian,Male,30,0,0,4,159,felony,2,0,False Imprisonment,False Imprisonment,"When a person either forcibly, by threat, confines, abducts, imprisons, or restrains another person without lawful authority against their will, or secretly confines, abducts, imprisons, or restrains another person without lawful authority against their will"
64,65,2,4991,African American,Male,58,0,0,10,306,felony,3,1,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
65,66,2,4546,African American,Male,32,0,0,0,306,felony,1,1,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
66,67,2,8046,African American,Male,27,0,0,13,246,felony,10,1,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
67,68,2,1066,Caucasian,Male,40,0,0,1,222,felony,2,0,Manufacture Cannabis,Manufacturing Cannabis/Marijuana,Manufacturing or cultivating cannabis
68,69,2,5049,Caucasian,Female,26,0,0,0,128,misdemeanor,2,0,Driving Under The Influence,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
69,70,2,10502,Caucasian,Male,31,0,0,0,169,felony,1,0,Felony Battery (Dom Strang),Battery,Intentionally causing bodily harm to another person without a weapon
70,71,2,4640,African American,Male,25,0,1,10,112,felony,10,1,Deliver Cocaine,Dealing Cocaine,Possessing cocaine with the intent to sell or deliver the cocaine
71,72,2,4098,African American,Male,26,0,0,4,344,felony,4,1,Robbery Sudd Snatch No Weapon,Robbery,"When a person intentionally and unlawfully takes money or property from another person through the use of force, violence, assault, or threat"
72,73,2,7834,African American,Male,33,0,0,1,169,felony,2,0,Felony Battery (Dom Strang),Battery,Intentionally causing bodily harm to another person without a weapon
73,74,2,794,African American,Male,29,0,0,5,253,felony,5,1,Poss Contr Subst W/o Prescript,Possession of a Controlled Substance,Possession of a criminalized narcotic or pharmacological drug
74,75,2,408,Caucasian,Female,22,0,0,1,246,felony,3,0,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
75,76,2,3647,African American,Male,20,0,0,0,190,felony,3,0,Grand Theft in the 3rd Degree,Grand Theft,The unlawful taking of property worth more than $300
76,77,2,5500,Caucasian,Male,72,0,0,7,344,felony,4,0,Robbery Sudd Snatch No Weapon,Robbery,"When a person intentionally and unlawfully takes money or property from another person through the use of force, violence, assault, or threat"
77,78,2,2034,Caucasian,Male,37,0,0,2,209,felony,2,0,Leaving the Scene of Accident,Fleeing the Scene of an Accident,When a person is involved in an accident or crash and willfully leaves the scene of the accident or crash without providing their information to the other individuals involved
78,79,2,726,Caucasian,Male,34,0,0,4,303,felony,6,1,Possession of Cannabis,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
79,80,2,9634,Hispanic,Male,24,0,0,2,212,felony,3,0,Lewd/Lasc Battery Pers 12+/<16,Child Molestation,"Intentionally touching the breasts, genitals, or buttocks of a child younger than 16 in a lewd or lascivious manner"
80,81,2,6189,Caucasian,Female,46,0,0,1,167,felony,2,0,Felony Batt(Great Bodily Harm),Battery,Intentionally causing bodily harm to another person without a weapon
81,82,2,4629,Caucasian,Male,55,0,0,0,45,misdemeanor,1,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
82,83,2,9407,African American,Male,40,0,0,20,129,felony,7,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked
83,84,2,6240,African American,Male,50,0,0,0,306,felony,1,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
84,85,2,2525,Caucasian,Male,28,0,0,0,86,felony,2,0,Counterfeit Lic Plates/Sticker,Forgery,"When a person falsely makes, alters, counterfeits, or forges a document that carries Òlegal efficacyÓ"
85,86,2,8162,Asian,Male,48,0,0,0,15,felony,2,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent"
86,87,2,1195,African American,Female,37,0,0,3,336,felony,7,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty"
87,88,2,2703,African American,Male,51,0,0,3,172,felony,7,0,Felony Driving While Lic Suspd,Driving with a Suspended License,Driving with a license that has been suspended
88,89,2,6207,African American,Male,38,0,0,0,145,misdemeanor,8,1,Extradition/Defendants,Extradition of Defendants,The transfer of an accused criminal by one state or nation to another
89,90,2,10423,Caucasian,Male,28,0,0,2,377,felony,2,1,Tamper With Witness/Victim/CI,Tampering with a Witness,The act of attempting to alter or prevent the testimony of witnesses within criminal or civil proceedings
90,91,2,282,Caucasian,Male,45,0,0,8,423,misdemeanor,4,1,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will"
91,92,2,7032,Caucasian,Female,58,0,0,1,134,misdemeanor,2,0,DUI Property Damage/Injury,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
92,93,2,838,African American,Male,44,0,0,1,333,misdemeanor,3,0,Reckless Driving,Reckless Driving,When you drive a vehicle in a manner that shows a willful disregard for the safety of persons or property
93,94,2,10220,African American,Male,24,0,0,1,246,felony,3,0,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
94,95,2,1490,African American,Male,30,0,0,4,45,misdemeanor,4,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
95,96,2,6884,Caucasian,Male,29,0,0,0,18,felony,8,0,Aggravated Battery,Battery,Intentionally causing bodily harm to another person without a weapon
96,97,2,10748,Caucasian,Male,44,0,0,1,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
97,98,2,1361,African American,Male,27,0,0,5,142,misdemeanor,3,1,Expired DL More Than 6 Months,Driving with an Expired License,Driving with a license that is expired
98,99,2,4161,African American,Male,54,0,0,0,45,misdemeanor,1,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
99,100,2,5270,African American,Male,31,0,0,0,45,misdemeanor,4,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
100,101,3,7416,Hispanic,Male,26,0,0,2,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
101,102,3,8099,Caucasian,Male,28,0,0,0,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
102,103,3,2685,African American,Female,21,0,0,0,190,felony,5,0,Grand Theft in the 3rd Degree,Grand Theft,The unlawful taking of property worth more than $300
103,104,3,2624,African American,Male,51,0,0,0,306,felony,2,1,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
104,105,3,3768,African American,Female,36,0,0,1,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
105,106,3,10448,African American,Male,48,0,0,11,337,misdemeanor,4,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty"
106,107,3,5614,African American,Male,33,0,0,2,10,felony,8,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon
107,108,3,2338,Hispanic,Male,59,0,0,0,133,misdemeanor,1,0,DUI Level 0.15 Or Minor In Veh,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
108,109,3,4029,Hispanic,Male,28,0,0,0,45,misdemeanor,2,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
109,110,3,4082,Caucasian,Male,24,0,0,0,375,felony,5,1,Tamper With Victim,Tampering with a Witness,The act of attempting to alter or prevent the testimony of witnesses within criminal or civil proceedings
110,111,3,4426,Caucasian,Female,43,0,0,0,186,misdemeanor,2,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300
111,112,3,7079,Caucasian,Male,25,0,0,3,280,felony,7,0,"Poss3,4 Methylenedioxymethcath",Possession of Ecstasy,Possession of Ecstasy
112,113,3,7840,Caucasian,Male,22,0,0,1,190,felony,2,0,Grand Theft in the 3rd Degree,Grand Theft,The unlawful taking of property worth more than $300
113,114,3,9889,African American,Male,35,0,0,9,303,felony,6,0,Possession of Cannabis,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
114,115,3,7315,African American,Male,24,0,0,2,45,misdemeanor,5,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
115,116,3,2691,African American,Male,54,0,0,0,368,misdemeanor,1,0,Soliciting For Prostitution,Soliciting For Prostitution,"When a person solicits, induces, entices, or procures another person to engage in prostitution, lewdness, or assignation"
116,117,3,7010,African American,Male,54,0,0,4,306,felony,3,1,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
117,118,3,7170,Caucasian,Male,22,0,0,0,306,felony,5,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
118,119,3,6314,Caucasian,Male,20,0,0,0,187,felony,6,1,Grand Theft Dwell Property,Grand Theft,The unlawful taking of property worth more than $300
119,120,3,999,Caucasian,Male,38,0,0,1,90,felony,1,1,Crimin Mischief Damage $1000+,Criminal Damage of more than $1000,"When a person willfully and maliciously damages another person's property - with damage of more than $1,000"
120,121,3,4620,Caucasian,Male,41,0,0,0,306,felony,2,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
121,122,3,8909,Caucasian,Male,46,0,0,0,127,misdemeanor,1,0,Driving License Suspended,Driving with a Suspended License,Driving with a license that has been suspended
122,123,3,5607,Caucasian,Male,38,0,0,2,311,felony,3,0,Possession Of Heroin,Possession of Heroin,
123,124,3,4126,African American,Male,30,0,0,0,319,felony,2,1,Possession of Oxycodone,Possession of Oxycodone,Possession of Oxycodone
124,125,3,6683,African American,Female,24,0,0,3,244,misdemeanor,6,1,PL/Unlaw Use Credit Card,Fraud,Wrongful or criminal deception intended to result in financial or personal gain
125,126,3,10390,Caucasian,Male,29,0,0,3,306,felony,4,1,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
126,127,3,10762,Hispanic,Female,26,0,0,1,130,misdemeanor,4,0,DUI - Enhanced,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
127,128,3,4703,Hispanic,Male,25,0,0,0,246,felony,2,1,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
128,129,3,9428,Caucasian,Male,52,0,0,7,45,misdemeanor,2,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
129,130,3,5917,African American,Male,32,0,0,1,132,misdemeanor,4,1,DUI Blood Alcohol Above 0.20,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
130,131,3,5213,Hispanic,Male,33,0,0,3,127,misdemeanor,2,0,Driving License Suspended,Driving with a Suspended License,Driving with a license that has been suspended
131,132,3,505,African American,Male,29,0,0,0,15,felony,1,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent"
132,133,3,1833,Asian,Male,24,0,0,0,404,felony,3,0,Unauth Poss ID Card or DL,Fraud,Wrongful or criminal deception intended to result in financial or personal gain
133,134,3,5352,African American,Male,24,0,0,0,128,misdemeanor,2,1,Driving Under The Influence,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
134,135,3,7224,African American,Male,24,0,0,1,169,felony,3,1,Felony Battery (Dom Strang),Battery,Intentionally causing bodily harm to another person without a weapon
135,136,3,10783,Caucasian,Male,66,0,0,0,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
136,137,3,5217,African American,Male,37,0,0,0,169,felony,1,1,Felony Battery (Dom Strang),Battery,Intentionally causing bodily harm to another person without a weapon
137,138,3,4461,Caucasian,Male,64,0,0,8,129,felony,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked
138,139,3,3510,Caucasian,Male,36,1,0,10,45,misdemeanor,9,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
139,140,3,9844,Caucasian,Male,51,0,0,2,190,felony,1,1,Grand Theft in the 3rd Degree,Grand Theft,The unlawful taking of property worth more than $300
140,141,3,526,Caucasian,Female,21,0,0,0,306,felony,6,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
141,142,3,10824,African American,Female,23,0,0,1,58,felony,4,1,Burglary Conveyance Unoccup,Burglary,"Unlawfully entering a dwelling or structure or remaining in a dwelling or structure after permission to remain has been withdrawn, with the intent to commit a crime inside"
142,143,3,9690,African American,Female,26,0,0,0,144,misdemeanor,2,0,Exposes Culpable Negligence,Child Abuse,Intentional infliction of physical or mental injury upon a child
143,144,3,10919,African American,Male,35,0,0,12,45,misdemeanor,6,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
144,145,3,2572,African American,Female,28,0,0,2,297,felony,5,1,Possession Of Alprazolam,Possession of a Controlled Substance,Possession of a criminalized narcotic or pharmacological drug
145,146,3,8528,African American,Male,32,0,0,1,159,felony,2,0,False Imprisonment,False Imprisonment,"When a person either forcibly, by threat, confines, abducts, imprisons, or restrains another person without lawful authority against their will, or secretly confines, abducts, imprisons, or restrains another person without lawful authority against their will"
146,147,3,1159,African American,Female,53,0,0,0,172,felony,1,0,Felony Driving While Lic Suspd,Driving with a Suspended License,Driving with a license that has been suspended
147,148,3,3234,Caucasian,Male,39,0,0,8,15,felony,1,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent"
148,149,3,1286,Caucasian,Male,24,0,2,3,129,felony,4,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked
149,150,3,7219,African American,Male,32,0,0,3,186,felony,4,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300
150,151,4,2773,African American,Female,49,0,0,14,45,misdemeanor,7,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
151,152,4,4558,Caucasian,Male,33,0,0,0,336,felony,1,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty"
152,153,4,9352,Caucasian,Male,20,0,4,4,186,felony,10,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300
153,154,4,8924,African American,Male,27,0,0,1,21,felony,4,1,Aggravated Battery / Pregnant,Assault,"An intentional and unlawful threat against another person, coupled with the apparent ability to carry out the threat, which creates a genuine and reasonable fear that violence or harm is imminent"
154,155,4,853,African American,Male,50,0,0,3,45,misdemeanor,3,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
155,156,4,1385,African American,Male,28,0,0,4,45,misdemeanor,2,1,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
156,157,4,5489,African American,Male,24,0,0,7,21,felony,8,1,Aggravated Battery / Pregnant,Assault,"An intentional and unlawful threat against another person, coupled with the apparent ability to carry out the threat, which creates a genuine and reasonable fear that violence or harm is imminent"
157,158,4,5449,Caucasian,Male,32,0,0,1,64,felony,3,0,Burglary Structure Unoccup,Burglary,"Unlawfully entering a dwelling or structure or remaining in a dwelling or structure after permission to remain has been withdrawn, with the intent to commit a crime inside"
158,159,4,9919,African American,Male,32,0,0,0,303,misdemeanor,4,0,Possession of Cannabis,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
159,160,4,1856,Caucasian,Male,21,0,0,1,49,felony,4,0,Battery on Law Enforc Officer,Battery,Intentionally causing bodily harm to another person without a weapon
160,161,4,1162,African American,Male,26,0,0,5,186,felony,7,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300
161,162,4,10958,Caucasian,Female,49,0,0,2,186,felony,6,0,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300
162,163,4,3794,African American,Male,46,0,0,0,246,felony,7,1,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
163,164,4,5127,Caucasian,Female,25,0,0,0,128,misdemeanor,4,0,Driving Under The Influence,Driving Under the Influence,Operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher
164,165,4,4193,Hispanic,Male,44,0,0,0,45,misdemeanor,1,0,Battery,Battery,Intentionally causing bodily harm to another person without a weapon
165,166,4,9933,African American,Male,27,2,0,14,159,felony,10,1,False Imprisonment,False Imprisonment,"When a person either forcibly, by threat, confines, abducts, imprisons, or restrains another person without lawful authority against their will, or secretly confines, abducts, imprisons, or restrains another person without lawful authority against their will"
166,167,4,3738,Caucasian,Male,28,0,0,14,246,felony,9,0,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
167,168,4,9231,Caucasian,Male,35,0,0,3,306,felony,4,0,Possession of Cocaine,Possession of Cocaine,Possession of cocaine
